seed,node_delete_strategy,num_removes,sensitive_dim,removed_nodes,auc_before,auc_after,ap_before,ap_after,acc_before,acc_after,f1_before,f1_after,delta_auc,delta_ap,delta_acc,delta_f1,is_outlier_delta_auc,is_outlier_delta_ap,exclude_from_stats
0,random,500,0,500,0.8316496048850576,0.5930877334770115,0.9367690626410744,0.8119047902989489,0.74,0.606,0.8142857142857143,0.7090103397341211,-0.23856187140804608,-0.12486427234212549,-0.134,-0.10527537455159319,False,False,False
1,random,500,0,500,0.8318152435799495,0.627137568314039,0.8867033534422826,0.7631234870623891,0.75,0.626,0.8120300751879699,0.7170953101361573,-0.20467767526591052,-0.12357986637989349,-0.124,-0.09493476505181253,False,False,False
2,random,500,0,500,0.8311516189544084,0.6161915830682652,0.9146356291953832,0.789904183638821,0.74,0.626,0.8093841642228738,0.716236722306525,-0.2149600358861432,-0.12473144555656224,-0.11399999999999999,-0.09314744191634883,False,False,False
0,high_degree,500,0,500,0.8771764705882353,0.6291607843137255,0.9678772710003964,0.8980646091022244,0.812,0.7,0.8801020408163265,0.805699481865285,-0.24801568627450987,-0.06981266189817203,-0.1120000000000001,-0.07440255895104153,False,False,False
1,high_degree,500,0,500,0.8771764705882353,0.6291607843137255,0.9678772710003964,0.8980646091022244,0.812,0.7,0.8801020408163265,0.805699481865285,-0.24801568627450987,-0.06981266189817203,-0.1120000000000001,-0.07440255895104153,False,False,False
2,high_degree,500,0,500,0.8771764705882353,0.6291607843137255,0.9678772710003964,0.8980646091022244,0.812,0.7,0.8801020408163265,0.805699481865285,-0.24801568627450987,-0.06981266189817203,-0.1120000000000001,-0.07440255895104153,False,False,False
0,random,1000,0,1000,0.8336559033062043,0.6016757096539403,0.936683144118102,0.8233195678919345,0.734,0.606,0.8061224489795918,0.7085798816568047,-0.23198019365226397,-0.11336357622616755,-0.128,-0.0975425673227871,False,False,False
1,random,1000,0,1000,0.8352520068430056,0.6197894459797342,0.9088704344534572,0.7977119305271501,0.747,0.619,0.8151935719503287,0.7171492204899778,-0.21546256086327142,-0.1111585039263071,-0.128,-0.09804435146035095,False,False,False
2,random,1000,0,1000,0.84373673711909,0.6235914820473644,0.927392914657888,0.8096665752032164,0.755,0.625,0.8225923244026068,0.7191011235955056,-0.22014525507172567,-0.11772633945467159,-0.13,-0.10349120080710117,False,False,False
0,high_degree,1000,0,1000,0.8709875509406576,0.622169852700752,0.9712345747030487,0.8965704057978783,0.808,0.696,0.8787878787878788,0.8043758043758044,-0.24881769823990563,-0.07466416890517047,-0.1120000000000001,-0.07441207441207442,False,False,False
1,high_degree,1000,0,1000,0.8709875509406576,0.622169852700752,0.9712345747030487,0.8965704057978783,0.808,0.696,0.8787878787878788,0.8043758043758044,-0.24881769823990563,-0.07466416890517047,-0.1120000000000001,-0.07441207441207442,False,False,False
2,high_degree,1000,0,1000,0.8709875509406576,0.622169852700752,0.9712345747030487,0.8965704057978783,0.808,0.696,0.8787878787878788,0.8043758043758044,-0.24881769823990563,-0.07466416890517047,-0.1120000000000001,-0.07441207441207442,False,False,False
0,random,500,1,500,0.8686410961860065,0.7277876679074283,0.735482296290519,0.5544772087775728,0.8,0.714,0.7093023255813954,0.5217391304347826,-0.14085342827857816,-0.1810050875129462,-0.08600000000000008,-0.1875631951466128,False,False,False
1,random,500,1,500,0.8706245009377729,0.7635791350207054,0.7347720269874162,0.5907434073388751,0.826,0.756,0.7355623100303952,0.5793103448275863,-0.10704536591706748,-0.14402861964854108,-0.06999999999999995,-0.15625196520280893,False,False,False
2,random,500,1,500,0.899789029535865,0.7663224516988675,0.7852992874348742,0.6106843738129948,0.83,0.752,0.743202416918429,0.5724137931034483,-0.13346657783699756,-0.17461491362187942,-0.07799999999999996,-0.17078862381498072,False,False,False
0,high_degree,500,1,500,0.8685653333333333,0.7225706666666667,0.6103716640230668,0.4368211738800368,0.762,0.696,0.631578947368421,0.4758620689655172,-0.1459946666666666,-0.17355049014302998,-0.06600000000000006,-0.15571687840290382,False,False,False
1,high_degree,500,1,500,0.8685653333333333,0.7225706666666667,0.6103716640230668,0.4368211738800368,0.762,0.696,0.631578947368421,0.4758620689655172,-0.1459946666666666,-0.17355049014302998,-0.06600000000000006,-0.15571687840290382,False,False,False
2,high_degree,500,1,500,0.8685653333333333,0.7225706666666667,0.6103716640230668,0.4368211738800368,0.762,0.696,0.631578947368421,0.4758620689655172,-0.1459946666666666,-0.17355049014302998,-0.06600000000000006,-0.15571687840290382,False,False,False
0,random,500,2,500,0.8367948717948719,0.8295032051282052,0.835905439583004,0.8253260112335391,0.732,0.724,0.7351778656126482,0.7272727272727273,-0.007291666666666696,-0.010579428349464903,-0.008000000000000007,-0.007905138339920903,False,False,False
1,random,500,2,500,0.8409734555752892,0.8329413270612331,0.8113802236410539,0.7964013714215643,0.746,0.74,0.7562380038387716,0.7509578544061303,-0.008032128514056103,-0.01497885221948958,-0.006000000000000005,-0.005280149432641323,False,False,False
2,random,500,2,500,0.8142129866803278,0.8058721823770492,0.7818169910273517,0.7687274978870766,0.712,0.712,0.7176470588235294,0.7165354330708661,-0.00834080430327866,-0.013089493140275077,0.0,-0.0011116257526633255,False,False,False
0,high_degree,500,2,500,0.8709376863446631,0.8629248658318425,0.9325535729699832,0.926189949103452,0.786,0.784,0.8410104011887073,0.8392857142857143,-0.008012820512820595,-0.006363623866531221,-0.0020000000000000018,-0.001724686902992989,False,False,False
1,high_degree,500,2,500,0.8709376863446631,0.8629248658318425,0.9325535729699832,0.926189949103452,0.786,0.784,0.8410104011887073,0.8392857142857143,-0.008012820512820595,-0.006363623866531221,-0.0020000000000000018,-0.001724686902992989,False,False,False
2,high_degree,500,2,500,0.8709376863446631,0.8629248658318425,0.9325535729699832,0.926189949103452,0.786,0.784,0.8410104011887073,0.8392857142857143,-0.008012820512820595,-0.006363623866531221,-0.0020000000000000018,-0.001724686902992989,False,False,False
